goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16641562807 ns/op	3797762240 B/op	     833 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	14478797417 ns/op	4462637344 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	22073514068 ns/op	4462637376 B/op	    2104 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17083506835 ns/op	4462637344 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17330237624 ns/op	4462637344 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17840387823 ns/op	4462638240 B/op	    2105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	20269673836 ns/op	4462637440 B/op	    2104 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	13338158697 ns/op	4462637344 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17351362655 ns/op	4462637328 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	18006932378 ns/op	4462637344 B/op	    2103 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	18010966456 ns/op	4462638240 B/op	    2105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	21573356356 ns/op	4331537656 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	20002496582 ns/op	4331537640 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	14716770727 ns/op	4331537656 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	13259775605 ns/op	4331537640 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	20922708255 ns/op	4331537640 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	19305200232 ns/op	4331537656 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	17001257752 ns/op	4331537656 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	17683484652 ns/op	4331537640 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12348801851 ns/op	4331537656 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	17027672264 ns/op	4331537640 B/op	    1824 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	12185019026 ns/op	3798803912 B/op	     882 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	17662003576 ns/op	3798802280 B/op	     876 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	15255540424 ns/op	3798802264 B/op	     876 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	15698592451 ns/op	3798802472 B/op	     878 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	20637244616 ns/op	3798803192 B/op	     878 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	21488667669 ns/op	3798804504 B/op	     881 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	18980079316 ns/op	3798804376 B/op	     883 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	14820160321 ns/op	3798802568 B/op	     879 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	17352565080 ns/op	3798802280 B/op	     876 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	17866768431 ns/op	3798802264 B/op	     876 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	17853869303 ns/op	4331539608 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	11197071823 ns/op	4331539592 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18590565866 ns/op	4331539592 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	19280232465 ns/op	4331539608 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	17636661296 ns/op	4331539704 B/op	    1881 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	15809775590 ns/op	4331539800 B/op	    1882 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18000354479 ns/op	4331539608 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	16434833107 ns/op	4331539608 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	13041548088 ns/op	4331539592 B/op	    1880 allocs/op
