goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2651289047 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3107723645 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3152912139 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	1454143291 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2078378172 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2220621406 ns/op	1495575088 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2416527073 ns/op	1495575088 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3656877851 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3415045333 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	4316407198 ns/op	1495575072 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3947822915 ns/op	1495575088 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2790071001 ns/op	1495575088 B/op	     785 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	4611053249 ns/op	1121191704 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3689121628 ns/op	1121191720 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2626405129 ns/op	1121191720 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	4205701690 ns/op	1121191704 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3397072426 ns/op	1121191704 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2090797389 ns/op	1121191720 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3968225132 ns/op	1121191704 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3601110452 ns/op	1121191720 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3840673566 ns/op	1121191704 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	4206256574 ns/op	1121191720 B/op	      84 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2610360563 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4280636239 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	8312512697 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3207520790 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4796273990 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3749912561 ns/op	1495578080 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	1214147799 ns/op	1495578064 B/op	     805 allocs/op
