goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3273289069 ns/op	689162232 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3628781272 ns/op	689162248 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2738916564 ns/op	689162248 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3606935416 ns/op	689162232 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4092413968 ns/op	1063553672 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3565306823 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2777409049 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3530118608 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3157312097 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2634724677 ns/op	1063553672 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3460974943 ns/op	1063553672 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3307708781 ns/op	1063553672 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4061102178 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2100638157 ns/op	1063553656 B/op	     840 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3191256178 ns/op	1050452800 B/op	     681 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3227796731 ns/op	1050452640 B/op	     679 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2088512681 ns/op	1050452656 B/op	     679 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2621685863 ns/op	1050452720 B/op	     680 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2083027015 ns/op	1050452720 B/op	     680 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2451215705 ns/op	1050452656 B/op	     679 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	1625942309 ns/op	1050452720 B/op	     680 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	1695223777 ns/op	1050452720 B/op	     680 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2625531054 ns/op	1050452720 B/op	     680 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2319865298 ns/op	1050452816 B/op	     681 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2900781452 ns/op	769395600 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	1991449786 ns/op	769395616 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2558159297 ns/op	769395600 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2776281071 ns/op	769395600 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3122667314 ns/op	769395616 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	1290010847 ns/op	769395616 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2774370203 ns/op	769395600 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2693635780 ns/op	769395616 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3276967971 ns/op	769395616 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2564706129 ns/op	769395600 B/op	     158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3476884276 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2293728620 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2731683549 ns/op	1050453968 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3118558058 ns/op	1050453968 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3426547090 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2818454863 ns/op	1050453968 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3566551110 ns/op	1050453968 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2655029375 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2266662288 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3384391029 ns/op	1050453984 B/op	     706 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2564128527 ns/op	1074022536 B/op	     600 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	1628928610 ns/op	1074022472 B/op	     599 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	1935582156 ns/op	1074022536 B/op	     600 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	1955613167 ns/op	1074022472 B/op	     599 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	1646323526 ns/op	1074022632 B/op	     601 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2069826526 ns/op	1074022616 B/op	     601 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2289268376 ns/op	1074022536 B/op	     600 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2008545494 ns/op	1074022536 B/op	     600 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2000501851 ns/op	1074022472 B/op	     599 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	1636452618 ns/op	1074022616 B/op	     601 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2270682615 ns/op	849596712 B/op	     209 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	1888584482 ns/op	849596616 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2241493763 ns/op	849596632 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2282770628 ns/op	849596600 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2464736567 ns/op	849596632 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2253213257 ns/op	849596600 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2369939508 ns/op	849596632 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2093817693 ns/op	849596616 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	1765047485 ns/op	849596600 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2409504757 ns/op	849596616 B/op	     208 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1802916761 ns/op	1074023784 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1968164254 ns/op	1074023800 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2157223387 ns/op	1074023800 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1770475701 ns/op	1074023880 B/op	     638 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1721832662 ns/op	1074023816 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1929723484 ns/op	1074023896 B/op	     638 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1644923791 ns/op	1074023880 B/op	     638 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2578627405 ns/op	1074023800 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1641470044 ns/op	1074023816 B/op	     637 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1951512321 ns/op	1074023864 B/op	     638 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	1953368452 ns/op	876935104 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2425194246 ns/op	876935120 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2588445235 ns/op	876935104 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2330444483 ns/op	876935104 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	1620759257 ns/op	876935040 B/op	     556 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2531515879 ns/op	876935184 B/op	     558 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	1740936088 ns/op	876935200 B/op	     558 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2434203991 ns/op	876935184 B/op	     558 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2124404419 ns/op	876935104 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	1766464622 ns/op	876935104 B/op	     557 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1621224983 ns/op	689215200 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2288776363 ns/op	689215200 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2162087437 ns/op	689215216 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1901973222 ns/op	689215312 B/op	     265 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2396112536 ns/op	689215200 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2356856432 ns/op	689215392 B/op	     266 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1589037850 ns/op	689215200 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1721783027 ns/op	689215200 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1858327958 ns/op	689215216 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1939091673 ns/op	689215216 B/op	     264 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=mixed-128      	       1	2142498587 ns/op	876937328 B/op	     607 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=mixed-128      	       1	1675245267 ns/op	876937408 B/op	     608 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=6/reduction=mixed-128      	       1	2508505269 ns/op	876937232 B/op	     606 allocs/op
