goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3191781532 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4570021977 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4584106350 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2688977464 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3782913506 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	5027310738 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	4569669984 ns/op	2307835192 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	5021634167 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3709389029 ns/op	2307835176 B/op	    1266 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4373457998 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3734987229 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4024674523 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3744541556 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3725235695 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2782356578 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4039337781 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2985560298 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3693437486 ns/op	2198763760 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2869535712 ns/op	2198763744 B/op	    1053 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3271689187 ns/op	1870521648 B/op	     463 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3441437154 ns/op	1870521664 B/op	     463 allocs/op
