goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	9348051835 ns/op	6074465112 B/op	    5173 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	22722785361 ns/op	6074464680 B/op	    5172 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	17126626296 ns/op	6074465560 B/op	    5174 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	17993917877 ns/op	6074465208 B/op	    5174 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	13938706164 ns/op	6074466472 B/op	    5176 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	16250767354 ns/op	6074466104 B/op	    5176 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	26764492434 ns/op	6074465304 B/op	    5175 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14915278229 ns/op	6074465576 B/op	    5174 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	20407410830 ns/op	6074466232 B/op	    5178 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14487201171 ns/op	6074466648 B/op	    5178 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	24174132460 ns/op	6960615752 B/op	    6873 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	20203122284 ns/op	6960614840 B/op	    6871 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	24830401921 ns/op	6960614872 B/op	    6873 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	26744937511 ns/op	6960614488 B/op	    6871 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	14478633342 ns/op	6960614200 B/op	    6868 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	15633745951 ns/op	6960614840 B/op	    6871 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	26183449735 ns/op	6960614488 B/op	    6871 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	22717570516 ns/op	6960614536 B/op	    6873 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	29785687562 ns/op	6960613864 B/op	    6868 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	24610473830 ns/op	6960614840 B/op	    6871 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	29050695836 ns/op	6740415600 B/op	    6449 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	18831912178 ns/op	6740422256 B/op	    6453 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	28056317204 ns/op	6740418464 B/op	    6456 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	26645259237 ns/op	6740416224 B/op	    6451 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	24287811848 ns/op	6740415632 B/op	    6451 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	20929608228 ns/op	6740417920 B/op	    6454 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	17016817361 ns/op	6740417120 B/op	    6453 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	23008674662 ns/op	6740416576 B/op	    6451 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	14097045684 ns/op	6740418464 B/op	    6456 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	21688468312 ns/op	6740417120 B/op	    6453 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	21783585301 ns/op	6075542192 B/op	    5222 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	20736298775 ns/op	6075544960 B/op	    5228 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	17591450962 ns/op	6075542976 B/op	    5222 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	18761803106 ns/op	6075543168 B/op	    5224 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	13301218306 ns/op	6075542624 B/op	    5222 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	15127857047 ns/op	6075542528 B/op	    5221 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	17688614564 ns/op	6075543424 B/op	    5223 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	19075010391 ns/op	6075543680 B/op	    5222 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	9808674962 ns/op	6075542176 B/op	    5221 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	12735559004 ns/op	6075542976 B/op	    5222 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	10774851504 ns/op	6740418528 B/op	    6493 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	16144857339 ns/op	6740418784 B/op	    6492 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	21423867901 ns/op	6740417440 B/op	    6489 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	30062710652 ns/op	6740418352 B/op	    6492 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	21860338040 ns/op	6740418336 B/op	    6491 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	19497664810 ns/op	6740417888 B/op	    6490 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	31751397616 ns/op	6740417904 B/op	    6490 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15078263863 ns/op	6740418976 B/op	    6494 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	22393270082 ns/op	6740419168 B/op	    6496 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	23029493102 ns/op	6740419680 B/op	    6494 allocs/op
