goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	14087647419 ns/op	4595321336 B/op	    2516 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	19606955004 ns/op	4595321336 B/op	    2516 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	14798871780 ns/op	4595321432 B/op	    2518 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	19289757189 ns/op	4595321848 B/op	    2518 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	14424964475 ns/op	4595321320 B/op	    2516 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	15773634326 ns/op	4595321336 B/op	    2517 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	15039999027 ns/op	3516234952 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	12881190750 ns/op	3516234952 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14193259752 ns/op	3516235832 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14552604052 ns/op	3516234936 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	13804516780 ns/op	3516234936 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	13444765907 ns/op	3516234936 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	12449391697 ns/op	3516235848 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14967357259 ns/op	3516234952 B/op	     828 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14905830596 ns/op	3516235400 B/op	     829 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	14072554962 ns/op	3516235032 B/op	     829 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	19877555803 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	14247629208 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	18272062268 ns/op	4595321880 B/op	    2529 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	15181267242 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	14319513763 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	18235831293 ns/op	4595321880 B/op	    2529 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	16131844158 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	13117826121 ns/op	4595321848 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	19890289637 ns/op	4595321864 B/op	    2528 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	18145442325 ns/op	4595322744 B/op	    2530 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	13761658644 ns/op	4652987792 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16098234856 ns/op	4652987808 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16661957635 ns/op	4652987888 B/op	    2120 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	14354024922 ns/op	4652987824 B/op	    2121 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	18787350034 ns/op	4652987808 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	17153068790 ns/op	4652987792 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	17805240228 ns/op	4652987792 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	19902013613 ns/op	4652987792 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	17058619221 ns/op	4652987808 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	18781356657 ns/op	4652987792 B/op	    2119 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	14151811108 ns/op	3842360992 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	10812139018 ns/op	3842360992 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	14223163257 ns/op	3842361072 B/op	     871 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	13791939740 ns/op	3842360992 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	15550898938 ns/op	3842360976 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	13056838309 ns/op	3842360992 B/op	     870 allocs/op
