goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	17722197663 ns/op	3118449248 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	13350331336 ns/op	3118449264 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	10979915664 ns/op	3118449264 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	20425681856 ns/op	3118449248 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15374574429 ns/op	3118449264 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	20500435267 ns/op	3118449248 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15304766004 ns/op	3118449248 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	12860671049 ns/op	3118449248 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	6592930120 ns/op	3118449264 B/op	    1943 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	14661221941 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	19085051841 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	12063852161 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	12931835210 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	14520060963 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	18460896188 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	14074533165 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	21618056573 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	17942086941 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	16120170647 ns/op	2494476200 B/op	     788 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	29511349104 ns/op	3118450640 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	19138722148 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	21334004894 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	16857043928 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	26557437428 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	16819211950 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	10907143527 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	18598224073 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	12969471812 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	12915986111 ns/op	3118450656 B/op	    1983 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	16464753704 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	17774552039 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	16974944200 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	18473444004 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	16134655892 ns/op	2993690432 B/op	    1717 allocs/op
