goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	140101746295 ns/op	72919605744 B/op	   15055 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	184869119499 ns/op	72919605744 B/op	   15055 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	183389641585 ns/op	89533776672 B/op	   41153 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	156965784769 ns/op	89533775776 B/op	   41151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	205001306771 ns/op	89533775792 B/op	   41151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	136241823087 ns/op	89533775872 B/op	   41152 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	209460451967 ns/op	89533775792 B/op	   41151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	239691319346 ns/op	89533775872 B/op	   41152 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	147216584859 ns/op	89533777136 B/op	   41154 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	207233732922 ns/op	89533775776 B/op	   41151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	175903483696 ns/op	89533777136 B/op	   41154 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=mixed-128         	       1	185705072475 ns/op	89533775776 B/op	   41151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	150673052097 ns/op	91332882488 B/op	   35916 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	163813639902 ns/op	91332882488 B/op	   35916 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	144519644238 ns/op	91332882568 B/op	   35917 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	148702761091 ns/op	91332882568 B/op	   35917 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	142641128236 ns/op	91332883752 B/op	   35918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	157546971639 ns/op	91332882408 B/op	   35915 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	150369682084 ns/op	91332882488 B/op	   35916 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	149980934043 ns/op	91332882488 B/op	   35916 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	161293435852 ns/op	91332882568 B/op	   35917 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=sweep-128         	       1	142404022264 ns/op	91332882408 B/op	   35915 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	127426043310 ns/op	78043006168 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	141956611803 ns/op	78043006728 B/op	   15088 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	137185342962 ns/op	78043007528 B/op	   15089 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	143413512525 ns/op	78043007960 B/op	   15090 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	161444930039 ns/op	78043006616 B/op	   15087 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	141238951935 ns/op	78043006168 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	156164805543 ns/op	78043006184 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	130719024369 ns/op	78043006136 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	143478012079 ns/op	78043006168 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=parallel-128      	       1	152056914806 ns/op	78043006152 B/op	   15086 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	139206566323 ns/op	91332883528 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	143991199976 ns/op	91332883528 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	119376396312 ns/op	91332883512 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	136475513042 ns/op	91332883512 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	132940640368 ns/op	91332883528 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	144191353560 ns/op	91332883528 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	148886792518 ns/op	91332883976 B/op	   35954 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	134742072769 ns/op	91332883512 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	133186828544 ns/op	91332883496 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=5/reduction=mixed-128         	       1	162188451022 ns/op	91332883528 B/op	   35953 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	145151235544 ns/op	94263418424 B/op	   32477 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	144098095633 ns/op	94263416088 B/op	   32470 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	149538414106 ns/op	94263416248 B/op	   32472 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	158952620451 ns/op	94263416024 B/op	   32470 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	140717059268 ns/op	94263416184 B/op	   32472 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	165264816217 ns/op	94263415944 B/op	   32469 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	126318398200 ns/op	94263416248 B/op	   32472 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	152703041685 ns/op	94263416184 B/op	   32472 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	151298294787 ns/op	94263416104 B/op	   32471 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=sweep-128         	       1	157643840794 ns/op	94263416328 B/op	   32473 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	146804677626 ns/op	83187300320 B/op	   15151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	122905276350 ns/op	83187300112 B/op	   15149 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	137685590816 ns/op	83187300160 B/op	   15149 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	146379838036 ns/op	83187300240 B/op	   15150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	146936225274 ns/op	83187301952 B/op	   15153 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	146777547745 ns/op	83187300160 B/op	   15149 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	138507099163 ns/op	83187300704 B/op	   15151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	142637558147 ns/op	83187300240 B/op	   15150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	138979442267 ns/op	83187301024 B/op	   15151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=parallel-128      	       1	142320029758 ns/op	83187302128 B/op	   15155 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=mixed-128         	       1	152512580641 ns/op	94263415952 B/op	   32523 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=6/reduction=mixed-128         	       1	152238535215 ns/op	94263415168 B/op	   32522 allocs/op
