goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	24650960914 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	15094221539 ns/op	4398197192 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	21150429142 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	19203959254 ns/op	4398197192 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	23576435033 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	10939845893 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	16608715488 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	13245366648 ns/op	4398197192 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	19314700480 ns/op	4398197176 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	24011179282 ns/op	4398197192 B/op	    2328 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	18229881456 ns/op	3565530008 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14709672993 ns/op	3565529992 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	6580195644 ns/op	3565530008 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	22496525520 ns/op	3565529992 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	15660155673 ns/op	3565530008 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	21897472032 ns/op	3565530008 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	21312878111 ns/op	3565529992 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	24665105917 ns/op	3565529992 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14623657718 ns/op	3565530008 B/op	     752 allocs/op
