goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	25920396199 ns/op	2469273640 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	34424491659 ns/op	2469273640 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	19496822677 ns/op	2469273624 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	22898562542 ns/op	2469274520 B/op	     440 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	26787782466 ns/op	2469273640 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	19521981370 ns/op	2469273624 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	25617499706 ns/op	2469273624 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	24375016598 ns/op	2469273624 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	15451026643 ns/op	3292500560 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	17629910990 ns/op	3292500576 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	21567737512 ns/op	3292500576 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	18635541086 ns/op	3292500576 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	31289166721 ns/op	3292500576 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	17962290077 ns/op	3292500560 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	22393091886 ns/op	3292500560 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	18369932586 ns/op	3292501008 B/op	    2014 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	26173387948 ns/op	3292500560 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	35764027559 ns/op	3292500576 B/op	    2013 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	13269981375 ns/op	3087990640 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	19172614640 ns/op	3087990640 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	18526379793 ns/op	3087991520 B/op	    1621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	22097973434 ns/op	3087990640 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16995494899 ns/op	3087990624 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	19570266595 ns/op	3087990624 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	24373705670 ns/op	3087996848 B/op	    1623 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	14921775627 ns/op	3087990624 B/op	    1619 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	21431055227 ns/op	3087991984 B/op	    1623 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	22631330407 ns/op	3087990640 B/op	    1619 allocs/op
