goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	12703680321 ns/op	6309341624 B/op	    2583 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	11761347331 ns/op	6309341704 B/op	    2584 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	13042590011 ns/op	6309341768 B/op	    2585 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	12111855799 ns/op	6309341768 B/op	    2585 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	11134574665 ns/op	6309341784 B/op	    2585 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11781434987 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11768898211 ns/op	5524940920 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	12581507344 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	12078113804 ns/op	5524940920 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11228065231 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	14026488610 ns/op	5524941112 B/op	    1540 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11765121888 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11904838141 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11384650626 ns/op	5524940936 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	12966006808 ns/op	5524940952 B/op	    1538 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	10064030930 ns/op	6309343032 B/op	    2623 allocs/op
